D101322400031,1,3,Japan Aviation High School Hokkaido,"1007-95 Izumisawa, Chitose City, Hokkaido"
D103210000673,3,2,Iwate Prefectural Kitazakura High School,"60-1 Makimae, Ichinohe-cho, Ninohe-gun, Iwate Prefecture"
D105220959093,5,2,Akita Prefectural Kazuno High School,"12 Meido Nagane, Hanawa, Kazuno City, Akita Prefecture"
D106220350088,6,2,Yamagata Prefectural Chidokan High School,"26-31 Wakaba-cho, Tsuruoka City, Yamagata Prefecture"
D108320100102,8,3,Asuka Mirai Kibou High School,"1-7 Sakuragawa, Mito City, Ibaraki Prefecture"
D114221210076,14,2,Kanagawa Prefectural Atsugi Oji High School,"1-1-1 Oji, Atsugi City, Kanagawa Prefecture"
D122210000974,22,2,Shizuoka Prefectural Fujinokuni International High School,"35, Kanaya Negishi-cho, Shimada City, Shizuoka Prefecture"
D122310000455,22,3,Shizuoka Gakuen Nagomi High School,"1-1-1 Yawata, Suruga-ku, Shizuoka City, Shizuoka Prefecture"
D125321200028,25,3,ECC Gakuen High School,"512-1 Mukugawa, Imazu-cho, Takashima-shi, Shiga Prefecture"
D126310000433,26,3,Kyoto Nagaodani High School,"11-1 Fukakusa Sanoyashiki-cho, Fushimi-ku, Kyoto City, Kyoto Prefecture"
D147320900027,47,3,Enagic Sports High School,"296 Sedaka, Nago City, Okinawa Prefecture"
D104213210039,4,2,Miyagi Prefecture Okawara Sangyo High School,"7-2 Kamikawara, Ogawara-cho, Shibata-gun, Miyagi Prefecture"
D107221060049,7,2,Fukushima Prefectural Nihonmatsu Jitsugyo High School,"1-58-2 Enokido, Nihonmatsu City, Fukushima Prefecture"
D107221360037,7,2,Fukushima Prefectural Date High School,"23 Motoki, Hobara-cho, Date City, Fukushima Prefecture"
D107236860030,7,2,Fukushima Prefectural Minamiaizu High School,"260 Tabehara, Tajima, Minamiaizu-cho, Minamiaizu-gun, Fukushima Prefecture"
D108221600036,8,2,Ibaraki Prefectural IT Future High School,"352-15 Otamachi, Kasama City, Ibaraki Prefecture"
D108222000058,8,2,"Kuba Science High School, Ibaraki Prefecture","1818 Yatabe, Tsukuba City, Ibaraki Prefecture"
D108320100095,8,3,EIKO Digital Creative High School,"2582-9 Mikawacho, Mito City, Ibaraki Prefecture"
D109310000167,9,3,Hoshi no Mori High School,"3776 Kamikagodanicho, Utsunomiya City, Tochigi Prefecture"
D112310000625,12,3,Seibi Gakuen High School,"1000-1 Matsube, Katsuura City, Chiba Prefecture"
D114210010482,14,2,Kanagawa Prefectural Yokohama Seya High School,"29-1 Higashinodai, Seya Ward, Yokohama City, Kanagawa Prefecture"
D114215010142,14,2,Kanagawa Prefectural Sagamihara Shiroyama High School,"1-26-1 Shiroyama, Midori-ku, Sagamihara City, Kanagawa Prefecture"
D114220810036,14,2,Kanagawa Prefectural Zushi Hayama High School,"5-24-1 Sakurayama, Zushi City, Kanagawa Prefecture"
D122210000965,22,2,Shizuoka Prefectural Izu Ito High School,"748-1 Yoshida, Ito City, Shizuoka Prefecture"
D123210001669,23,2,Aichi Prefectural Inazawa Ryokufukan High School,"11 Kayo, Hirano-cho, Inazawa City, Aichi Prefecture"
D123310000561,23,3,international high school,"4-4 Migamine, Yonenogi-cho, Nisshin City, Aichi Prefecture"
D126210000710,26,2,Kyoto City Kaiken High School,"22 Karahashi Omiyajiri-cho, Minami-ku, Kyoto City, Kyoto Prefecture"
D127310001093,27,3,Kinki Osaka High School,"1054-1 Hakotsukuri, Hannan City, Osaka Prefecture"
D140313000242,40,3,Fukuoka Art High School,"3-11-10 Hakata Ekimae, Hakata Ward, Fukuoka City, Fukuoka Prefecture"
D147320700010,47,3,Mizuho MSC High School,"6-18 Shineicho, Ishigaki City, Okinawa Prefecture"
D147321100014,47,3,Sendai Ikuei Gakuen Okinawa High School,"2-6-17 Goya, Okinawa City, Okinawa Prefecture"
