D101220200066,1,2,Hokkaido Hakodate Ryohoku High School,"181-8 Ishikawacho, Hakodate, Hokkaido"
D101223300014,1,2,Hokkaido Date High School,"44 Takeharacho, Date City, Hokkaido"
D101223300023,1,2,Hokkaido Date Midorigaoka High School,"180-4 Minamikifucho, Date City, Hokkaido"
D101242300014,1,2,Hokkaido Minamipporo High School,"3-2-1 Motomachi, Minamipporo-cho, Sorachi-gun, Hokkaido"
D101256400013,1,2,Hokkaido Higashimokoto High School,"79 Higashimokoto, Ozora-cho, Abashiri-gun, Hokkaido"
D101256400022,1,2,Hokkaido Memanbetsu High School,"Showa 104-1, Memanbetsu, Ozora-cho, Abashiri-gun, Hokkaido"
D101264300027,1,2,Hokkaido Makubetsu High School,"81 Minami-cho, Makubetsu-cho, Nakagawa-gun, Hokkaido"
D101364300105,1,3,Gangneung High School,"101-1 Yoda, Makubetsu-cho, Nakagawa-gun, Hokkaido"
D102210000102,2,2,Aomori Prefectural Aomori Kita High School Imabetsu School Building,"258 Nishida, Imabetsu-cho, Higashitsugaru-gun, Aomori Prefecture"
D102210000148,2,2,Aomori Prefectural Itayagi High School,"46 Nishikabayashi, Ota, Itayanagi-cho, Kitatsugaru-gun, Aomori Prefecture"
D102210000157,2,2,Aomori Prefectural Kanagi High School,"200-403 Ashino, Kanagi-cho, Goshogawara-shi, Aomori Prefecture"
D102210000166,2,2,Aomori Prefectural Kuroishi High School,"65 Nishigaoka, Kuroishi City, Aomori Prefecture"
D102210000246,2,2,Aomori Prefectural Gonohe High School,"6 Negishi, Gonohe-cho, Sannohe-gun, Aomori Prefecture"
D102210000282,2,2,Aomori Prefectural Sanbongi Agricultural High School,"78-92 Takashimizu, Aisaka, Towada City, Aomori Prefecture"
D102210000335,2,2,Aomori Prefectural Goshogawara Technical High School,"192 Funakoshi, Minato, Goshogawara City, Aomori Prefecture"
D102210000399,2,2,Aomori Prefectural Kuroishi Commercial High School,"97-2 Akebonocho, Kuroishi City, Aomori Prefecture"
D102210000415,2,2,Aomori Prefectural Nakazato High School,"567 Koganeishi, Takane, Nakadomari-cho, Kitatsugaru-gun, Aomori Prefecture"
D102210000488,2,2,Aomori Prefectural Wooden High School Fukaura Campus,"95-157 Ienokami, Hiroto, Fukaura-machi, Nishitsugaru-gun, Aomori Prefecture"
D102210000497,2,2,Aomori Prefectural Rokunohe High School,"25-163 Tsubokesawa, Inuochise, Rokunohe-machi, Kamikita-gun, Aomori Prefecture"
D102210000530,2,2,Aomori Prefectural Tsuruta High School,"369-1 Koizumi, Tsuruta, Tsuruta-machi, Kitatsugaru-gun, Aomori Prefecture"
D102210000558,2,2,Aomori Prefectural Ominato High School Kawauchi Campus,"48-1 Kawauchi Machiya Noue, Mutsu City, Aomori Prefecture"
D102210000567,2,2,Aomori Prefectural Tago High School,"1-1 Ezodate, Somai, Tago-machi, Sannohe-gun, Aomori Prefecture"
D102210000576,2,2,Aomori Prefectural Towada Nishi High School,"53-3 Shimoarai, Sawada, Towada City, Aomori Prefecture"
D102210000585,2,2,Aomori Prefectural Aomori Higashi High School Hiranai Campus,"46-26 Shindo, Kominato, Hiranai-machi, Higashitsugaru-gun, Aomori Prefecture"
D103210000646,3,2,Iwate Prefectural Fukuoka Technical High School,"2-1 Higyozuka, Ishikirisho, Ninohe City, Iwate Prefecture"
D103210000655,3,2,Iwate Prefectural Ichinohe High School,"60-1 Makimae, Ichinohe-cho, Ninohe-gun, Iwate Prefecture"
D105220255315,5,2,Akita Prefectural Futatsui High School,"20-1 Gosenkari, Futatsui-cho, Noshiro City, Akita Prefecture"
D105220256136,5,2,Akita Prefectural Noshiro Nishi High School,"193 Ueno, Makabeji, Noshiro City, Akita Prefecture"
D105220256387,5,2,Akita Prefectural Noshiro Technical High School,"3-1 Banwakacho, Noshiro City, Akita Prefecture"
D105220955112,5,2,Akita Prefectural Hanawa High School,"12 Meido Nagane, Hanawa, Kazuno City, Akita Prefecture"
D105220955149,5,2,Akita Prefectural Towada High School,"9 Shimoyokuma, Towada Kemauchi, Kazuno City, Akita Prefecture"
D105230355171,5,2,Akita Prefectural Kosaka High School,"66-1 Tatehira, Kosaka, Kosaka-machi, Kazuno-gun, Akita Prefecture"
D106220350014,6,2,Yamagata Prefectural Tsuruoka Minami High School,"26-31 Wakabacho, Tsuruoka City, Yamagata Prefecture"
D106220350023,6,2,Yamagata Prefectural Tsuruoka Minami High School Yamazoe Campus,"38 Bunei Kamiyama, Tsuruoka City, Yamagata Prefecture"
D106220350032,6,2,Yamagata Prefectural Tsuruokakita High School,"16-5 Wakabacho, Tsuruoka City, Yamagata Prefecture"
D107220160102,7,2,Fukushima Prefectural Fukushima Chuo High School,"17 Watari Shichishagu, Fukushima City, Fukushima Prefecture"
D107220360020,7,2,Fukushima Prefectural Asaka High School Mitate Campus,"128 Hirohira, Yanagibashi, Nakata-cho, Koriyama City, Fukushima Prefecture"
D107220460074,7,2,Fukushima Prefectural Yumoto High School,"55 Gotanda, Hasecho, Tokiwakamiyu, Iwaki City, Fukushima Prefecture"
D107220460083,7,2,Fukushima Prefectural Onahama High School,"23 Takeshiro, Onahama Shimokamipaku, Iwaki City, Fukushima Prefecture"
D107220460092,7,2,Fukushima Prefectural Iwaki Kaisei High School,"153 Tate no Koshi, Onahama Shimokamipaku, Iwaki City, Fukushima Prefecture"
D107220460145,7,2,Fukushima Prefectural Tono High School,"10-1 Akasaka, Kamitono, Tono-cho, Iwaki City, Fukushima Prefecture"
D107220760017,7,2,Fukushima Prefectural Sukagawa High School,"88 Midoricho, Sukagawa City, Fukushima Prefecture"
D107220760044,7,2,Fukushima Prefectural Naganuma High School,"58 Kokko Bridge, Naganuma, Sukagawa, Fukushima Prefecture"
D107220860016,7,2,Fukushima Prefectural Kitakata High School,"1-129 Sakuragaoka, Kitakata City, Fukushima Prefecture"
D107220860025,7,2,Fukushima Prefectural Kitakata Higashi High School,"4167 Enakako, Kitakata City, Fukushima Prefecture"
D107220860043,7,2,Fukushima Prefectural Yama Agricultural High School,"4299-1 Uenoyamadaira, Yamato-cho, Kitakata City, Fukushima Prefecture"
D107220960024,7,2,Fukushima Prefectural Soma Higashi High School,"200 Amidado, Kitaibuchi, Soma City, Fukushima Prefecture"
D107221060021,7,2,Fukushima Prefectural Nihonmatsu Technical High School,"1-58-2 Enokido, Nihonmatsu City, Fukushima Prefecture"
D107221060030,7,2,Fukushima Prefectural Adachi Higashi High School,"13, Shimonagaori, Mikado, Nihonmatsu City, Fukushima Prefecture"
D107221360019,7,2,Fukushima Prefectural Yanagawa High School,"33 Tsurugaoka, Yanagawa-cho, Date City, Fukushima Prefecture"
D107221360028,7,2,Fukushima Prefectural Hobara High School,"23 Motoki, Hobara-cho, Date City, Fukushima Prefecture"
D107236860012,7,2,Fukushima Prefectural Tajima High School,"260 Tabehara, Tajima, Minamiaizu-cho, Minamiaizu-gun, Fukushima Prefecture"
D107236860021,7,2,Fukushima Prefectural Minamiaizu High School,"2000 Mukaigawara, Kai, Minamiaizu-cho, Minamiaizu-gun, Fukushima Prefecture"
D107242160017,7,2,Fukushima Prefectural Sakashita High School,"1090 Furukawa-ko, Byakuko, Aizu Sakashita-machi, Kawanuma-gun, Fukushima Prefecture"
